,Episode Lengths,Episode Rewards
0,82.0,-106.31168139312162
1,144.0,-111.33297519363639
2,501.0,-95.42708688302645
3,165.0,1001.2233705646257
4,41.0,999.2340086306308
5,105.0,-101.59392465209497
6,501.0,-100.1643431129947
7,501.0,-102.46975209372087
8,501.0,-100.83011619438685
9,501.0,-85.83034291709141
10,24.0,1002.4359883688688
11,1.0,1000.0
12,501.0,-93.65661629705257
13,501.0,-97.31880117338952
14,1.0,1000.0
15,257.0,-97.97919663648744
16,406.0,1010.7254024761426
17,501.0,-93.43239300340954
18,501.0,-91.87371755270547
19,390.0,1010.0454172309519
20,160.0,-110.8091641332462
21,211.0,1012.5356162136399
22,501.0,-99.93377389634331
23,472.0,-97.20210637507606
24,501.0,-92.4867981984533
25,1.0,1000.0
26,1.0,1000.0
27,117.0,-103.65687258835855
28,1.0,1000.0
29,167.0,1003.3837229951323
30,501.0,-98.1178007037175
31,484.0,-99.04088028657321
32,408.0,-114.58595984870227
33,1.0,1000.0
34,501.0,-103.66879787574786
35,39.0,1002.6790224600825
36,501.0,-96.51996809537671
37,1.0,1000.0
38,1.0,1000.0
39,1.0,1000.0
40,501.0,-101.89418334429625
41,97.0,-102.98602643989116
42,93.0,1005.6383765365657
43,1.0,1000.0
44,195.0,1011.8424481760277
45,72.0,1005.3728723878324
46,501.0,-112.6625098470133
47,46.0,1004.1565625946756
48,403.0,1005.3176166459547
49,1.0,1000.0
50,137.0,-112.4248597753637
51,24.0,999.6148140772763
52,501.0,-101.74938966630894
53,501.0,-95.02565468754472
54,1.0,1000.0
55,1.0,1000.0
56,1.0,1000.0
57,265.0,-109.60311775194049
58,150.0,-104.96457415168197
59,442.0,1007.0172706460024
60,501.0,-97.90313662308799
61,266.0,1003.438098359187
62,501.0,-97.25043196260573
63,1.0,1000.0
64,180.0,-107.72291097392127
65,453.0,1008.9044247149836
66,206.0,-111.21878308928095
67,501.0,-99.4951722686678
68,306.0,1013.4064553514024
69,96.0,1005.0001992034599
70,342.0,1019.0937362969021
71,501.0,-87.87482738827111
72,1.0,1000.0
73,501.0,-89.03699194700364
74,144.0,1009.8670368147451
75,20.0,1001.7863002940873
76,1.0,1000.0
77,65.0,1002.917840258755
78,501.0,-105.75776389223425
79,164.0,1007.2307867977651
80,501.0,-103.8851658229044
81,415.0,1005.8140562691536
82,501.0,-90.25203432865007
83,412.0,-100.99674891547629
84,139.0,-108.31158587935971
85,96.0,-108.67683561016622
86,1.0,1000.0
