,Episode Lengths,Episode Rewards
0,141.0,-103.79771264855445
1,361.0,1005.0002057311195
2,1.0,1000.0
3,266.0,1004.7845051575804
4,115.0,-105.4096853879491
5,228.0,1012.4455016591222
6,90.0,1004.7065468687198
7,46.0,1003.0840405118219
8,1.0,1000.0
9,234.0,-103.20764832611847
10,159.0,1004.9891833092626
11,57.0,1004.1201248165011
12,1.0,1000.0
13,501.0,-99.77081050759271
14,320.0,1004.231995164029
15,501.0,-109.68188282364768
16,501.0,-92.00706534660189
17,501.0,-108.53083415830152
18,501.0,-87.27102898510232
19,204.0,-108.21676089700189
20,263.0,-98.19144700370462
21,128.0,-114.11423154306702
22,501.0,-100.03013010343241
23,37.0,1002.8630965337587
24,501.0,-104.87397995234737
25,501.0,-103.529795191441
26,140.0,-105.09508347232652
27,1.0,1000.0
28,155.0,-102.81032470500237
29,198.0,-102.64754277913454
30,40.0,1001.5497457320731
31,1.0,1000.0
32,413.0,1008.678967736387
33,36.0,1001.7896902397961
34,194.0,-110.24826842517123
35,279.0,1003.4183116880079
36,227.0,1018.6635116806308
37,501.0,-91.704870233287
38,501.0,-104.51531688082844
39,1.0,1000.0
40,501.0,-95.26586855657878
41,486.0,1009.2113137343315
42,279.0,1004.8757337383156
43,167.0,-98.68384021205893
44,196.0,1008.8527960461497
45,42.0,1002.9888672246348
46,1.0,1000.0
47,173.0,1003.0079942354971
48,125.0,1007.0649361383003
49,219.0,1008.6906885835975
50,288.0,1003.117758590784
51,393.0,1015.4044259579606
52,190.0,-111.1616505333537
53,107.0,1003.1097866407391
54,156.0,1003.6802480571288
55,501.0,-94.63529422055805
56,355.0,-99.95119551990368
57,303.0,-102.5396250192063
58,78.0,1002.7110590231412
59,1.0,1000.0
60,1.0,1000.0
61,179.0,-105.475208218787
62,9.0,1000.2110857010141
63,1.0,1000.0
64,501.0,-97.25977282604457
65,209.0,1000.4250546359051
66,426.0,-96.88772797159439
67,1.0,1000.0
68,179.0,1010.1166677858771
69,160.0,-110.34118897416383
70,1.0,1000.0
71,205.0,1006.1283905816845
72,247.0,1002.0081789916657
73,273.0,1005.2556024097605
74,1.0,1000.0
75,393.0,1006.3124755665698
76,146.0,1009.2738236280439
77,1.0,1000.0
78,276.0,1005.0877543820544
79,469.0,1012.9080897642938
80,501.0,-84.61110896330669
81,271.0,1010.2536005663304
82,339.0,1014.357760849769
83,163.0,1007.6784838759071
84,87.0,1002.6771743934664
85,175.0,1002.6321034732658
86,1.0,1000.0
87,43.0,1001.5062859328898
88,501.0,-92.04683920545605
89,144.0,1005.8698100454111
90,160.0,1008.9776923820865
91,279.0,-102.60548207234075
92,329.0,1011.3157325586823
93,501.0,-87.15418650623405
94,28.0,1000.0826796044352
95,501.0,-103.63360874644005
96,226.0,1014.5642596281756
97,71.0,1002.1480725341221
98,501.0,-98.57405463966155
99,501.0,-108.09145708820775
100,330.0,1011.6022053585405
101,501.0,-103.17934762843446
102,160.0,1004.1286172251281
103,287.0,1017.235451223532
104,245.0,1011.0486763316635
105,438.0,-104.36380089891671
106,1.0,1000.0
107,501.0,-91.52161765791794
108,27.0,1001.8365694642488
109,501.0,-92.35922457730815
110,267.0,-104.92884570853741
111,8.0,1000.7439393871047
112,501.0,-96.96900781526605
113,477.0,-109.92469631803289
114,447.0,1016.0267658846259
115,421.0,1012.998986006484
116,501.0,-84.52803468605498
117,292.0,-108.81287030706191
118,372.0,1003.2597960977481
119,472.0,-112.76371991407774
120,295.0,1005.6742563045096
121,173.0,1005.8752280702837
122,501.0,-84.89492757491752
123,1.0,1000.0
124,245.0,1005.8550571150543
125,54.0,1002.2855747443117
126,104.0,1007.4119212418267
127,441.0,-95.07965206682186
128,501.0,-99.43416310769017
129,501.0,-108.73926507354106
130,261.0,1009.5718313204245
131,103.0,1004.9834397036891
132,501.0,-111.4538108213118
133,250.0,1012.1336021468953
134,419.0,-109.36053042759409
135,1.0,1000.0
136,177.0,1006.8046793566125
137,373.0,-106.87030551111421
138,501.0,-113.27638078941173
139,501.0,-91.0959580948192
140,501.0,-93.35120755782287
141,501.0,-100.66614613430907
142,501.0,-87.16458706626642
143,120.0,-106.65003374929692
144,1.0,1000.0
145,501.0,-102.71648141028686
146,501.0,-104.25600336875723
147,141.0,1001.9160474056398
148,404.0,1008.071341464192
149,133.0,1006.7764855561329
150,131.0,-105.74303337024027
151,1.0,1000.0
152,501.0,-105.82038350643053
153,206.0,1007.6726592657867
154,50.0,1003.9701574329537
155,501.0,-90.15425350656184
156,501.0,-83.30153010661657
157,52.0,1002.0577500035719
158,501.0,-103.93668732619227
159,19.0,1000.4693786860635
160,250.0,-107.18071510989124
161,1.0,1000.0
162,155.0,-102.62904170203635
163,1.0,1000.0
164,142.0,1005.8647553667116
165,212.0,1013.6031313390295
166,1.0,1000.0
167,482.0,1010.9690537486882
168,401.0,-107.90765532509525
169,404.0,1008.5373461222554
170,1.0,1000.0
171,160.0,1007.6354767909108
172,198.0,-105.19830451440255
173,199.0,1005.6281257147664
174,124.0,1006.4304958317825
175,501.0,-86.47687874354797
176,501.0,-101.60301959068427
177,485.0,1008.2711715924098
178,1.0,1000.0
179,317.0,1005.9570933153356
180,501.0,-100.63245807092882
181,501.0,-89.65885606761245
182,303.0,999.8104489588036
183,126.0,1007.1133130375896
184,1.0,1000.0
185,501.0,-107.40122393337136
186,501.0,-94.59215330299776
187,196.0,1003.7891631116788
188,261.0,1014.0927299981491
189,307.0,1005.7436972544316
190,266.0,1004.4950029567307
191,501.0,-107.32730626463588
192,150.0,1007.176381749748
193,167.0,-108.49200094018222
194,501.0,-105.02262785717605
195,501.0,-101.65382661578388
196,501.0,-95.75016116755526
197,317.0,1007.7375217842248
198,356.0,-110.56397192386314
199,1.0,1000.0
200,501.0,-89.77561118570681
201,108.0,1003.8360588869207
202,370.0,1005.5700602655071
203,98.0,1006.7532407490585
204,1.0,1000.0
205,501.0,-92.97316062586644
206,501.0,-83.01172462606266
207,68.0,1005.9598125444605
208,501.0,-108.06080861244465
209,1.0,1000.0
210,441.0,-107.99629831031592
211,432.0,-106.00808045542942
212,501.0,-93.56781219294109
213,195.0,-103.31013883716054
214,501.0,-98.78950886959593
215,238.0,-105.04234140011555
216,501.0,-88.99827342867246
217,501.0,-100.23234753096531
218,501.0,-104.27352486815207
219,128.0,-107.37476874659006
220,501.0,-100.51964275538229
221,221.0,1012.0312543922206
222,324.0,1006.328098711177
223,501.0,-94.51442573608253
224,267.0,1012.707207298108
225,259.0,1003.0901293868035
226,280.0,1009.8598216303385
227,421.0,-105.16124772894436
228,332.0,1006.0073226135313
229,501.0,-100.2860774110451
230,1.0,1000.0
231,1.0,1000.0
232,108.0,1002.0389657530789
233,501.0,-120.7085427244156
234,377.0,-104.46366250335275
235,326.0,1011.7616642877484
236,1.0,1000.0
237,501.0,-98.50227789773841
238,1.0,1000.0
239,157.0,1010.7955854579753
240,501.0,-97.87870553897818
241,168.0,-105.5953540573218
242,1.0,1000.0
243,501.0,-89.5700288843314
244,13.0,999.9367500377352
245,402.0,-108.66505130798983
246,157.0,1004.635736453667
247,169.0,1004.9719012163351
248,417.0,1005.6904983652286
249,144.0,1005.9355983729648
250,370.0,-114.6929798266963
251,1.0,1000.0
252,294.0,1003.8329822385662
253,501.0,-111.12016081982286
254,289.0,1007.7475511027559
255,501.0,-102.43403731594178
256,220.0,1009.8988446241459
257,177.0,1011.1261061624137
258,478.0,1017.8838061466818
259,385.0,-113.29530653304285
260,373.0,-102.50649110776695
261,288.0,-107.32679419774941
262,1.0,1000.0
263,363.0,-107.44954172658576
264,501.0,-97.2461972361424
265,341.0,1012.0491103191326
266,1.0,1000.0
267,243.0,-105.03417049565063
268,354.0,1005.4803747115246
269,429.0,1009.9869932632022
270,40.0,1000.3566854712799
271,75.0,1004.9007402368771
272,239.0,1008.9308568138987
273,501.0,-95.41045284397636
274,306.0,-104.92232419622924
275,1.0,1000.0
276,363.0,1005.3482723574632
277,501.0,-83.54304993860032
278,1.0,1000.0
279,278.0,1007.4554233654577
280,300.0,1006.8139881572229
281,267.0,1007.0448916660494
282,219.0,-106.30210764934439
283,501.0,-111.57269364724739
284,256.0,-110.72495819198573
285,377.0,1007.3283486978436
286,1.0,1000.0
287,501.0,-98.10752153097208
288,285.0,1009.9921532595591
289,473.0,1016.5478858871378
290,437.0,1005.1950444969766
291,356.0,1013.5106093865091
292,336.0,1017.4249216419912
293,440.0,-93.68044007803901
294,501.0,-107.82380914409457
295,501.0,-87.2408759985129
296,1.0,1000.0
297,456.0,1010.2934803208674
298,303.0,-105.69792901733167
299,485.0,-115.03373565254607
300,501.0,-110.10449321504962
301,501.0,-93.9730973437154
302,501.0,-103.41224628704741
303,501.0,-92.54382568548178
304,501.0,-99.44629963745084
305,323.0,1008.5077947556657
306,140.0,-106.40011747378028
307,501.0,-92.78899495113141
308,96.0,-107.00107050551547
309,414.0,1010.5845383972627
310,342.0,1004.3174989698014
311,372.0,1005.5412521898772
312,417.0,1009.9474666186899
313,368.0,1014.0820842295429
314,501.0,-114.93357104505283
315,501.0,-103.04992636882224
316,113.0,-103.12307517218893
317,501.0,-96.76312019720879
318,129.0,1002.6005586803822
319,1.0,1000.0
320,377.0,-106.94166821167393
321,1.0,1000.0
322,108.0,1000.7015813856096
323,94.0,1007.2413836204034
324,39.0,1001.0599452148529
325,1.0,1000.0
326,501.0,-109.5879786323465
327,1.0,1000.0
328,501.0,-84.96759738041332
329,501.0,-91.2677264788041
330,361.0,1012.7099516707951
331,1.0,1000.0
332,156.0,1005.2776243452792
333,1.0,1000.0
334,352.0,1006.5613697476759
335,212.0,1010.0363096624932
336,152.0,1005.4708533709039
337,330.0,-99.47839009116825
338,501.0,-88.3730706725729
339,471.0,1012.2113717409757
340,271.0,1009.4610627792024
341,501.0,-96.75571143935953
342,252.0,1001.6251206956605
343,228.0,-113.8923917220058
344,501.0,-107.8642808218283
345,396.0,1004.0567259026942
346,1.0,1000.0
347,67.0,-107.38490134234254
348,501.0,-85.77502045304252
349,269.0,1003.751271470348
350,501.0,-96.24937397918552
351,202.0,-113.68801575940948
352,354.0,-103.52301617271806
353,1.0,1000.0
354,501.0,-113.97136297240414
355,1.0,1000.0
356,213.0,-99.81142360651971
357,501.0,-98.5813028814034
358,147.0,1006.3820960352633
359,501.0,-107.26883619045816
360,396.0,1012.4007968295676
361,396.0,1016.8130481392097
362,289.0,-107.65281542799694
